"","views","comments","duration","languages","published_year","published_month","general_opinion","speaker_talks","speaker_pop","event","location","tags"
"1",47227110,4553,1164,60,2006,6,"positive",5,"very_popular","TED","Other","['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']"
"2",3200520,265,977,43,2006,6,"positive",4,"popular","TED","Other","['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']"
"3",1636292,124,1286,26,2006,6,"positive",5,"very_popular","TED","Other","['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']"
"4",1697550,200,1116,35,2006,6,"neutral",3,"popular","TED","Other","['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']"
"5",12005869,593,1190,48,2006,6,"positive",8,"very_popular","TED","Other","['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']"
"6",20685401,672,1305,36,2006,6,"positive",1,"not_popular","TED","Other","['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']"
"7",3769987,919,992,31,2006,7,"positive",4,"popular","TED","Other","['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']"
"8",967741,46,1198,19,2006,7,"positive",3,"popular","TED","Other","['architecture', 'collaboration', 'culture', 'design', 'library']"
"9",2567958,852,1485,32,2006,7,"neutral",5,"very_popular","TED","Other","['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']"
"10",3095993,900,1262,31,2006,7,"positive",1,"not_popular","TED","Other","['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']"
"11",1211416,79,1414,27,2006,7,"positive",3,"popular","TED","Other","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']"
"12",387877,55,1538,20,2006,7,"positive",1,"not_popular","TED","Other","['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']"
"13",693341,71,1550,24,2006,7,"neutral",3,"popular","TED","Other","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']"
"14",4531020,242,527,27,2006,8,"positive",3,"popular","TED","Other","['demo', 'design', 'interface design', 'technology']"
"15",358304,99,1057,25,2006,8,"positive",6,"very_popular","TED","Other","['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']"
"16",2702470,325,1481,31,2006,8,"positive",1,"not_popular","TED","Other","['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']"
"17",1628912,305,1445,32,2006,8,"positive",1,"not_popular","TED","Other","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']"
"18",1415724,88,906,27,2006,8,"neutral",1,"not_popular","TED","Other","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']"
"19",1074081,163,1170,22,2006,8,"positive",1,"not_popular","TED","Other","['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']"
"20",1106561,84,1201,32,2006,8,"neutral",1,"not_popular","TEDGlobal","Other","['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']"
"21",966439,108,1114,27,2006,8,"neutral",1,"not_popular","TED","Other","['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']"
"22",6141440,185,1136,26,2006,8,"positive",4,"popular","TED","Other","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']"
"23",518624,50,1006,20,2006,8,"positive",1,"not_popular","TED","Other","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']"
"24",9260764,556,1407,33,2006,9,"positive",3,"popular","TED","Other","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']"
"25",1131864,117,1225,23,2006,9,"positive",5,"very_popular","TED","Other","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']"
"26",1096862,184,1140,29,2006,9,"neutral",3,"popular","TEDGlobal","Other","['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']"
"27",2885999,507,1316,36,2006,9,"positive",4,"popular","TEDGlobal","Other","['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']"
"28",2863214,95,1275,25,2006,9,"positive",3,"popular","TED","Other","['business', 'cities', 'culture', 'economics', 'narcotics', 'race']"
"29",7023562,355,1050,37,2006,9,"positive",4,"popular","TED","Other","['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']"
